LIRN;NAPLES INTERNATIONAL AIRPORT (CAPODICHINO AIRPORT);NAPOLI;;ITALIA;EUROPA
LKMT;OSTRAVA-MOÅ NOV INTERNATIONAL AIRPORT;;;REPUBLICA TCHECA;EUROPA
LLAZ;GAZA AIRSTRIP (FORMERLY GUSH KATIF AIRPORT);;;ISRAEL;ASIA
LLBG;BEN GURION INTERNATIONAL AIRPORT;TEL AVIV;;ISRAEL;ASIA
LMML;MALTA INTERNATIONAL AIRPORT (LUQA AIRPORT);LUGA;;MALTA;EUROPA
LPAR;ALVERCA AB;ALVERCA;;PORTUGAL;EUROPA
LPAZ;SANTA MARIA AIRPORT;;;PORTUGAL;EUROPA
LPFR;FARO / MADEIRA AND ACORES;FARO / MADEIRA AND ACORES;;PORTUGAL;EUROPA
LPFU;AEROPORTO DE MADEIRA;FUNCHAL;;PORTUGAL;EUROPA
LPLA;LAJES AIR BASE INT.;;;PORTUGAL;EUROPA
LPPR;PORTO;PORTO;;PORTUGAL;EUROPA
LPPS;PORTO SANTO AIRPORT;;;PORTUGAL;EUROPA
LPPT;LISBOA;LISBOA;;PORTUGAL;EUROPA
LSGG;GENEVA COINTRIN INTERNATIONAL AIRPORT;GENEBRA;;SUÃ?Ã‡A;EUROPA
LSZH;ZÃœRICH AIRPORT (KLOTEN AIRPORT);ZURIQUE;;SUÃ?Ã‡A;EUROPA
LTAI;ANTALYA AIRPORT;ANTALYA;;TURQUIA;EUROPA
LTBA;ATATÃœRK INTERNATIONAL AIRPORT;ISTANBUL/ATATURK;;TURQUIA;EUROPA
LTFJ;SABIHA GÃ–KÃ‡EN INTERNATIONAL AIRPORT;ISTAMBUL;;TURQUIA;EUROPA
LZIB;MILAN RASTISLAV Å TEFÃ?NIK AIRPORT (BRATISLAVA AIRPORT);BRATISLAVA IVANCA;;ESLOVÃ?QUIA;EUROPA
MDLR;LA ROMANA INTERNATIONAL AIRPORT;LA ROMANA;;REPUBLICA DOMINICANA;AMERICA CENTRAL
MDPC;PUNTA CANA;PUNTA CANA;;REPUBLICA DOMINICANA;AMERICA CENTRAL
MDSD;SAO DOMINGO/DE LAS AMERICAS;SAO DOMINGO/DE LAS AMÉRICAS;;REPUBLICA DOMINICANA;AMERICA CENTRAL
MGGT;AEROPORTO INTERNACIONAL LA AURORA;GUATEMALA/LA AURORA;;GUATEMALA;AMERICA CENTRAL
MKJP;KINGSTON/NORMAN MANLEY INTL;KINGSTON/NORMAN MANLEY INTL;;JAMAICA;AMERICA CENTRAL
MMAA;GENERAL JUAN N. Ã?LVAREZ INTERNATIONAL AIRPORT;ACAPULCO/GEN.JUAN ALVAREZ;;MEXICO;AMERICA DO NORTE
MMGL;GUADALAJARA/INTL;GUADALAJARA/INTL;;MEXICO;AMERICA DO NORTE
MMMA;GENERAL SERVANDO CANALES INTERNATIONAL AIRPORT;NÃO INFORMADO;N/I;MEXICO;AMERICA DO NORTE
MMMD;MERIDA;MERIDA;;MEXICO;AMERICA DO NORTE
MMMX;BENITO JUAREZ INTL;MEXICO;;MEXICO;AMERICA DO NORTE
MMMY;MONTERREY;MONTERREY;;MEXICO;AMERICA DO NORTE
MMPB;PUEBLA;PUEBLA;;MEXICO;AMERICA DO NORTE
MMPR;LIC. GUSTAVO DÃ?AZ ORDAZ INTERNATIONAL AIRPORT;"PUERTO VALLARTA; JALISCO";;MEXICO;AMERICA DO NORTE
